"","Unique_ID","Sample","Type","Site","LTER_Site","Depth","Replicate","Core","Date","Group","Group_2","Group_3","Environment","perc_OM","d15N","perc_OrgN","d13C","perc_OrgC","C.N","Lambda","Sigma8","S","V","C","P","S.V","C.V","P..V.S.","Bd.V","Ac.Ads","Ac.Adv","Cumulative_3.900um","Cumulative_31.000um","Cumulative_62.500um","Cumulative_125.000um","Diameter_5.00.","Diameter_7.00.","Diameter_10.00.","Diameter_16.00.","Diameter_50.00.","Diameter_84.00.","Diameter_90.00.","Diameter_95.00.","Diameter_98.00.","perc_Clay","perc_Silt","perc_Sand","Depthf","Group_3f","C.Nnum","Cnum","Pnum"
"1",81,"200E","Estuarine","GOSL","GOSL",NA,1,"B","4/26/16","D","E",2,"Estuary",1.24,-2.12,0.03,-23.94,0.23,"7.73",0.26,0.08,0.18,0.08,"0.01","0.09",2.3,0.13,0.34,0.45,0.25,0.29,2.2,7.79,11.46,23.7,13.82,25.22,48.03,99.2,187.57,340.66,388.53,446.59,488.65,2.2,9.27,88.54,NA,"2",212,3,8
"2",82,"201E","Estuarine","GOSL","GOSL",NA,1,"T","4/26/16","D","E",2,"Estuary",1.16,1.78,0.03,-22.57,0.23,"6.72",0.34,0.1,0.22,0.1,"0.01","0.12",2.23,0.14,0.38,0.34,0.24,0.28,2.72,9.53,14.13,25.36,10.15,17.35,33.88,80.61,192.42,353.08,397.43,453.51,491.69,2.72,11.41,85.87,NA,"2",178,3,11
"3",83,"202E","Estuarine","GOSL","GOSL",NA,2,"T","4/26/16","D","E",2,"Estuary",2.75,4.79,0.09,-23.69,1.54,"16.7",2.88,5.06,2.35,0.44,"0.09","0.22",5.38,0.22,0.08,0.08,0.18,0.21,8.34,36.94,53.75,74.48,2.48,3.28,4.79,8.7,53.77,164.63,210.83,300.64,400.22,8.34,45.41,46.25,NA,"2",135,11,21
"4",84,"203E","Estuarine","GOSL","GOSL",NA,2,"B","4/26/16","D","E",2,"Estuary",2.48,4.85,0.07,-25.15,1.12,"15.14",2.39,2.75,1.61,0.68,"0.1","0.38",2.39,0.15,0.17,0.08,0.23,0.19,6.46,31.6,47.95,66.41,3.09,4.27,6.52,11.29,68.41,273.12,344.01,413.61,473.78,6.46,41.5,52.05,NA,"2",124,12,36
"5",85,"204E","Estuarine","GOSL","GOSL",NA,3,"T","4/26/16","D","E",2,"Estuary",4.19,5.08,0.12,-25.82,1.38,"11.48",3.42,4.79,2.4,0.78,"0.25","0.58",3.07,0.32,0.18,0.08,0.19,0.2,12.41,51.51,76.93,97.11,1.84,2.35,3.16,5.33,29.4,75.56,90.62,110.59,132.96,12.41,64.52,23.07,NA,"2",52,22,49
"6",86,"205E","Estuarine","GOSL","GOSL",NA,3,"B","4/26/16","D","E",2,"Estuary",3.26,4.1,0.12,-25.3,1.35,"11.23",2.42,3.27,1.72,0.6,"0.1","0.36",2.88,0.18,0.16,0.17,0.23,0.25,17.39,64.77,89.5,99.84,1.46,1.82,2.36,3.56,17.22,52.72,63.76,78.33,94.45,17.39,72.11,10.5,NA,"2",43,12,34
"7",87,"206E","Estuarine","GOSL","GOSL",NA,4,"T","4/26/16","D","E",2,"Estuary",2.86,3.5,0.12,-26.58,1.4,"11.67",2.53,3.5,1.86,0.59,"0.08","0.33",3.17,0.14,0.13,0.21,0.24,0.22,8.59,36.7,59.05,91.96,2.39,3.16,4.67,8.78,50.23,102.48,118.49,139.09,162.93,8.59,50.46,40.95,NA,"2",59,10,32
"8",88,"207E","Estuarine","GOSL","GOSL",NA,4,"B","4/26/16","D","E",2,"Estuary",4.4,1.18,0.13,-27.52,2.07,"15.9",2.42,4.98,1.59,0.72,"0.11","0.44",2.21,0.15,0.19,0.28,0.26,0.28,9.62,40.74,64.9,96.33,2.19,2.85,4.08,7.61,43.47,89.48,102.4,119.17,136.35,9.62,55.28,35.1,NA,"2",130,13,40
"9",89,"208E","Estuarine","ABUR E","ABUR E",NA,1,"T","4/27/16","D","E",3,"Estuary",1.59,0.63,0.04,-26.28,0.38,"10.84",0.77,0.36,0.3,0.44,"0.02","0.15",0.69,0.05,0.2,0.1,0.28,0.24,11.51,39.49,51.84,64.07,1.94,2.46,3.36,6.09,57.44,296.49,360.34,426.22,479.65,11.51,40.33,48.16,NA,"3",30,4,14
"10",90,"209E","Estuarine","ABUR E","ABUR E",NA,1,"B","4/27/16","D","E",3,"Estuary",0.91,-0.24,0.03,-23.46,0.2,"6.31",0.89,0.25,0.61,0.25,"0.03","0.25",2.46,0.13,0.29,0.18,0.2,0.2,1.38,8.45,13.59,20.71,17.37,25.87,42.46,86.53,266.53,405.31,444.53,480.31,515.62,1.38,12.22,86.41,NA,"3",170,5,24
"11",91,"210E","Estuarine","ABUR E","ABUR E",NA,2,"T","4/27/16","D","E",3,"Estuary",1.46,3.71,0.05,-26.03,0.56,"10.36",1.11,0.75,0.67,0.39,"0.06","0.21",1.73,0.14,0.2,0.2,0.28,0.32,4.83,20.06,28.72,37.73,4.08,6.19,9.86,19.93,208.39,386.67,428.56,471.61,499.86,4.83,23.89,71.28,NA,"3",15,8,20
"12",92,"211E","Estuarine","ABUR E","ABUR E",NA,2,"B","4/27/16","D","E",3,"Estuary",7.99,5.55,0.25,-26.98,3.14,"12.57",2.08,6.51,1.2,0.63,"0.25","0.38",1.9,0.39,0.21,0.19,0.22,0.26,11.32,59.34,86.07,98.91,2.07,2.62,3.47,5.61,22.73,58.74,71.95,90.67,112.64,11.32,74.75,13.93,NA,"3",83,22,36
