"","Unique_ID","Sample","Type","Site","LTER_Site","Depth","Replicate","Core","Date","Group","Group_2","Group_3","Environment","perc_OM","d15N","perc_OrgN","d13C","perc_OrgC","C.N","Lambda","Sigma8","S","V","C","P","S.V","C.V","P..V.S.","Bd.V","Ac.Ads","Ac.Adv","Cumulative_3.900um","Cumulative_31.000um","Cumulative_62.500um","Cumulative_125.000um","Diameter_5.00.","Diameter_7.00.","Diameter_10.00.","Diameter_16.00.","Diameter_50.00.","Diameter_84.00.","Diameter_90.00.","Diameter_95.00.","Diameter_98.00.","perc_Clay","perc_Silt","perc_Sand","Depthf","Group_3f","C.Nnum","Cnum","Pnum"
"1",1,"17M","MarineRunoff","AHND","AHND",10,1,"B","12/16/15","A","A",1,"Reef",2.25,1.51,0.044,-23.39,0.38,"8.5",1.21,0.54,0.89,0.24,"0.07","0.23",3.68,0.28,0.2,0.53,0.24,0.13,3.42,15.98,25.01,70.2,6.48,9.97,16.06,31.48,98.21,151.21,169.47,194.3,224.3,3.42,21.58,74.99,"10","1",235,9,22
"2",2,"18M","MarineRunoff","AHND","AHND",10,1,"T","12/16/15","A","A",1,"Reef",1,0.13,0.033,-22.12,0.17,"5.31",0.31,0.06,0.23,0.06,"0.02","0.15",3.74,0.35,0.51,0.92,0.03,0.07,2.25,9.65,14.6,63.7,13.12,20.82,35.05,65.41,108.98,159.45,177.46,201.24,230.33,2.25,12.35,85.4,"10","1",157,4,14
"3",3,"19M","MarineRunoff","AHND","AHND",10,2,"B","12/16/15","A","A",1,"Reef",2.14,0.84,0.053,-24.36,0.6,"11.44",1.4,0.9,0.93,0.37,"0.1","0.26",2.5,0.27,0.2,0.55,0.21,0.2,3.44,17.42,29.21,74.47,6.28,9.54,14.93,27.38,90.87,144.26,162.67,187.57,217.37,3.44,25.78,70.79,"10","1",51,12,25
"4",4,"1M","MarineRunoff","AHND","AHND",20,1,"B","12/16/15","A","A",1,"Reef",1.4,3.33,0.049,-23.09,0.39,"7.83",0.84,0.35,0.59,0.2,"0.05","0.2",2.91,0.26,0.26,0.4,0.09,0.14,3.59,14.93,25.39,79.68,6.38,10.4,17.55,36.67,89.56,132.88,146.97,166.04,187.48,3.59,21.8,74.61,"20","1",217,7,19
"5",5,"20M","MarineRunoff","AHND","AHND",10,2,"T","12/16/15","A","A",1,"Reef",1.68,1.6,0.047,-23.69,0.57,"12.07",1.73,1.04,0.75,0.89,"0.09","0.23",0.84,0.1,0.14,0.09,0.19,0.11,2.92,11.98,19.81,68.17,9.05,15.25,24.37,52.24,102.18,154.03,172.18,196.71,226.62,2.92,16.89,80.19,"10","1",73,11,22
"6",6,"2M","MarineRunoff","AHND","AHND",20,1,"T","12/16/15","A","A",1,"Reef",1.5,2.94,0.053,-23.32,0.55,"10.37",1.08,0.64,0.8,0.23,"0.05","0.13",3.51,0.21,0.12,0.33,0.24,0.12,3.42,14.73,26.83,81.52,6.9,11.3,18.73,36.73,87.05,129.67,143.89,162.32,181.96,3.42,23.41,73.17,"20","1",16,7,12
"7",7,"3M","MarineRunoff","AHND","AHND",20,2,"B","12/16/15","A","A",1,"Reef",1.78,2.76,0.05,-22.68,0.36,"7.24",0.87,0.35,0.56,0.26,"0.05","0.18",2.12,0.17,0.22,0.37,0.19,0.15,3.59,15.38,26.58,80.32,6.34,10.26,17.16,33.66,88.3,131.8,146,165.22,186.86,3.59,22.99,73.42,"20","1",192,7,17
"8",8,"4M","MarineRunoff","AHND","AHND",20,2,"T","12/16/15","A","A",1,"Reef",1.58,3.07,0.052,-23.3,0.48,"9.21",1.06,0.51,0.75,0.27,"0.04","0.16",2.76,0.16,0.15,0.27,0.15,0.24,3.43,15.06,26.95,81.47,6.85,11.08,18.23,35.49,87.06,129.79,143.96,162.4,182.03,3.43,23.53,73.05,"20","1",258,6,15
"9",9,"27M","Marine","AQUE","AQUE",10,1,"B","12/16/15","A","B",1,"Reef",2.54,2.48,0.049,-23.57,0.44,"8.88",0.53,0.24,0.35,0.16,"0.01","0.13",2.14,0.09,0.25,0.45,0.3,0.4,3.12,14.2,23.55,72.15,7.37,11.54,19.05,39.91,96.39,147.44,165.46,189.72,219.37,3.12,20.43,76.45,"10","1",247,3,12
"10",10,"28M","Marine","AQUE","AQUE",10,1,"T","12/16/15","A","B",1,"Reef",1.18,1.85,0.046,-23.09,0.39,"8.58",0.46,0.18,0.34,0.11,"0.01","0.12",2.94,0.09,0.27,0.32,0.29,0.35,2.89,12.16,19.92,70.14,8.84,14.58,23.53,52.63,100.05,150.26,168.01,192.13,221.7,2.89,17.03,80.08,"10","1",239,3,11
